rank,team,played,wins,draws,losses,gf,ga,gd,points
1,Arsenal,10,8,1,1,18,3,+15,25
2,Manchester City,10,6,1,3,20,8,+12,19
3,Liverpool,10,6,0,4,18,14,+4,18
4,Sunderland,10,5,3,2,12,8,+4,18
5,Bournemouth,10,5,3,2,17,14,+3,18
6,Tottenham,10,5,2,3,17,8,+9,17
7,Chelsea,10,5,2,3,18,11,+7,17
8,Manchester Utd,10,5,2,3,17,16,+1,17
9,Crystal Palace,10,4,4,2,14,9,+5,16
10,Brighton,10,4,3,3,17,15,+2,15
11,Aston Villa,10,4,3,3,9,10,-1,15
12,Brentford,10,4,1,5,14,16,-2,13
13,Newcastle Utd,10,3,3,4,10,11,-1,12
14,Everton,10,3,3,4,10,13,-3,12
15,Fulham,10,3,2,5,12,14,-2,11
16,Leeds United,10,3,2,5,9,17,-8,11
17,Burnley,10,3,1,6,12,19,-7,10
18,West Ham,10,2,1,7,10,21,-11,7
19,Nott'ham Forest,10,1,3,6,7,19,-12,6
20,Wolves,10,0,2,8,7,22,-15,2
